Sample	Type
X0101.miRNA	CLL
X0102.miRNA	CLL
X0104.miRNA	CLL
X0106.miRNA	CLL
X0108.miRNA	CLL
X0109.miRNA	CLL
X0110.miRNA	CLL
X0201.miRNA	CLL
X0202.miRNA	CLL
X0203.miRNA	CLL
X0204.miRNA	CLL
X0205.miRNA	CLL
X0206.miRNA	CLL
X0207.miRNA	CLL
X0208.miRNA	CLL
X0209.miRNA	CLL
X0210.miRNA	CLL
X0211.miRNA	CLL
X0214.miRNA	CLL
X0215.miRNA	CLL
X0216.miRNA	CLL
X0217.miRNA	CLL
X0218.miRNA	CLL
X0219.miRNA	CLL
X0220.miRNA	CLL
X0221.miRNA	CLL
X0222.miRNA	CLL
X0223.miRNA	CLL
X0224.miRNA	CLL
X0301.miRNA	CLL
X0302.miRNA	CLL
X0303.miRNA	CLL
X0401.miRNA	CLL
X0501.miRNA	CLL
X0503.miRNA	CLL
X0602.miRNA	CLL
X0603.miRNA	CLL
X0701.miRNA	CLL
CLL9_0101.miRNA	CLL
CLL9_0102.miRNA	CLL
CLL9_0103.miRNA	CLL
CLL9_0106.miRNA	CLL
CLL9_0112.miRNA	CLL
CLL9_0208.miRNA	CLL
SRX3584005	B-Cell
SRX3584009	B-Cell
SRX3584014	B-Cell
SRX3584018	B-Cell
SRX3584022	B-Cell
SRX3584026	B-Cell
SRX3584030	B-Cell
SRX3584034	B-Cell
SRX3584038	B-Cell
SRX3584042	B-Cell
SRX3584045	B-Cell
SRX3584049	B-Cell
SRX3584053	B-Cell
SRX3584057	B-Cell
SRX3584061	B-Cell
SRX3584065	B-Cell
SRX3584069	B-Cell
SRX3584074	B-Cell
SRX3584078	B-Cell
SRX3584082	B-Cell
SRX3584086	B-Cell
SRX3584090	B-Cell
SRX3584094	B-Cell
