Sample	Type	miRNA	Position	Edited	Unedited	Editing_Level	LCI	UCI	p_value
4721	CLL	hsa-miR-1260b	9	10	13	0.44	0.255530201994746	0.633569354343638	9.99900009999e-05
4721	CLL	hsa-miR-1260b	18	10	13	0.44	0.255530201994746	0.633569354343638	9.99900009999e-05
4721	CLL	hsa-miR-29a-3p	22	250	7383	0.0328749181401441	0.0289928129166091	0.0369887602138613	0.0048995100489951
4721	CLL	hsa-miR-29c-3p	22	55	1341.5	0.0400429031104755	0.0304090229281101	0.05092146183429	9.99900009999e-05
4793	CLL	hsa-miR-29c-3p	22	14	342.5	0.0418410041841004	0.0236707222708019	0.0648328861962665	9.99900009999e-05
4793	CLL	hsa-miR-29a-3p	22	109	3566	0.0299156921403318	0.0246565388605393	0.0356589167904008	0.0073992600739926
4793	CLL	hsa-miR-5100	4	25	65	0.282608695652174	0.195865814601125	0.378301889708807	9.99900009999e-05
4923	CLL	hsa-miR-29a-3p	22	320	11392	0.0274031073928632	0.0245240473429732	0.0304349868248096	9.99900009999e-05
4923	CLL	hsa-miR-29c-3p	22	33	924.5	0.0354351224596144	0.024688146477727	0.0480130388756078	9.99900009999e-05
4923	CLL	hsa-miR-1260b	9	12	140	0.0844155844155844	0.0460184324706627	0.132995685000817	9.99900009999e-05
4923	CLL	hsa-miR-1260b	18	12	140	0.0844155844155844	0.0460184324706627	0.132995685000817	9.99900009999e-05
4923	CLL	hsa-miR-125a-5p	24	19	567	0.0340136054421769	0.0209336002414981	0.0500864347571912	9.99900009999e-05
4997_3	CLL	hsa-miR-29a-3p	22	52	3350.5	0.0155676310765164	0.0116858378431788	0.0199878193236598	9.99900009999e-05
5114	CLL	hsa-miR-5100	4	19	35	0.357142857142857	0.238138379213483	0.485814950939319	9.99900009999e-05
5114	CLL	hsa-miR-29c-3p	22	12	399.5	0.0314389359129383	0.0168850734134987	0.050264230975171	9.99900009999e-05
5114	CLL	hsa-miR-29a-3p	22	215	6798.5	0.0307889672867223	0.0268752526206095	0.0349559974063761	9.99900009999e-05
5130_1	CLL	hsa-miR-29c-3p	22	24	1002.5	0.0243072435585805	0.0158061423757755	0.0345559654023889	9.99900009999e-05
5130_1	CLL	hsa-miR-29a-3p	22	285	9275	0.0299100606567664	0.0265901800949338	0.0334161565093255	9.99900009999e-05
5147	CLL	hsa-miR-29a-3p	22	216	7431.5	0.0283678671808615	0.0247658947393065	0.0322033583530318	0.003999600039996
5147	CLL	hsa-miR-29c-3p	22	34	849.5	0.0395256916996047	0.0277142513772815	0.0533037796009163	0.0026997300269973
5212	CLL	hsa-miR-29c-3p	22	12	370.5	0.0338101430429129	0.0181705326343194	0.0540203202690541	9.99900009999e-05
5212	CLL	hsa-miR-29a-3p	22	294	11684	0.0246243739565943	0.0219252923721978	0.0274737573047458	0.0043995600439956
5293	CLL	hsa-miR-5100	4	18	18	0.5	0.343996815665766	0.656003184334234	9.99900009999e-05
5293	CLL	hsa-miR-29a-3p	22	255	9263	0.026890756302521	0.0237366732704882	0.0302330719335913	0.0091990800919908
5293	CLL	hsa-miR-29c-3p	22	38	1258	0.0300462249614792	0.021467805996947	0.0399940810392603	9.99900009999e-05
5295	CLL	hsa-miR-29a-3p	22	263	12807.5	0.0201950659781985	0.017854104067984	0.0226750477220828	0.0041995800419958
5295	CLL	hsa-miR-1260b	9	25	0	0.962962962962963	0.867725395502246	0.999026712106665	9.99900009999e-05
5295	CLL	hsa-miR-1260b	18	25	0	0.962962962962963	0.867725395502246	0.999026712106665	9.99900009999e-05
5295	CLL	hsa-miR-5100	4	22	35	0.389830508474576	0.270456505202839	0.516282340086626	9.99900009999e-05
5295	CLL	hsa-miR-4753-5p	2	45	0	0.978723404255319	0.922938172948099	0.999449764305119	9.99900009999e-05
5295	CLL	hsa-miR-4753-5p	3	45	0	0.978723404255319	0.922938172948099	0.999449764305119	9.99900009999e-05
5295	CLL	hsa-miR-4753-5p	8	45	0	0.978723404255319	0.922938172948099	0.999449764305119	9.99900009999e-05
5295	CLL	hsa-miR-4753-5p	9	45	0	0.978723404255319	0.922938172948099	0.999449764305119	9.99900009999e-05
5295	CLL	hsa-miR-4753-5p	10	45	0	0.978723404255319	0.922938172948099	0.999449764305119	9.99900009999e-05
5295	CLL	hsa-miR-4753-5p	13	45	0	0.978723404255319	0.922938172948099	0.999449764305119	9.99900009999e-05
5295	CLL	hsa-miR-4753-5p	14	45	0	0.978723404255319	0.922938172948099	0.999449764305119	9.99900009999e-05
5295	CLL	hsa-miR-4753-5p	18	45	0	0.978723404255319	0.922938172948099	0.999449764305119	9.99900009999e-05
5295	CLL	hsa-miR-4753-5p	19	45	0	0.978723404255319	0.922938172948099	0.999449764305119	9.99900009999e-05
5295	CLL	hsa-miR-4753-5p	21	45	0	0.978723404255319	0.922938172948099	0.999449764305119	9.99900009999e-05
5295	CLL	hsa-miR-29c-3p	22	15	1050.5	0.0149882903981265	0.00859880910863396	0.0230916237881885	9.99900009999e-05
5318	CLL	hsa-miR-29a-3p	22	71	2463.5	0.0283855706682436	0.022283575950162	0.0351913547099926	9.99900009999e-05
5384	CLL	hsa-miR-1260b	9	12	0	0.928571428571429	0.752947361999529	0.998054371502653	9.99900009999e-05
5384	CLL	hsa-miR-1260b	18	12	0	0.928571428571429	0.752947361999529	0.998054371502653	9.99900009999e-05
5384	CLL	hsa-miR-5100	4	15	11	0.571428571428571	0.387983930259682	0.745201193368262	9.99900009999e-05
5384	CLL	hsa-miR-29c-3p	22	12	233	0.0526315789473684	0.0284346142974625	0.0836587659757536	9.99900009999e-05
5384	CLL	hsa-miR-29a-3p	22	161	5718	0.0275463356572012	0.0235180275001731	0.0318788828961885	9.99900009999e-05
5477	CLL	hsa-miR-29a-3p	22	243	9943	0.0239497447978013	0.0210705699274152	0.0270059009748624	0.0043995600439956
5477	CLL	hsa-miR-5100	4	13	32	0.297872340425532	0.177426815295945	0.434604077784251	9.99900009999e-05
5477	CLL	hsa-miR-29c-3p	22	17	565	0.0308219178082192	0.018398904926477	0.0462776385187702	9.99900009999e-05
5477	CLL	hsa-miR-1260b	9	38	42	0.475609756097561	0.369018867470779	0.583328190951425	9.99900009999e-05
5477	CLL	hsa-miR-1260b	18	38	42	0.475609756097561	0.369018867470779	0.583328190951425	9.99900009999e-05
5740_1	CLL	hsa-miR-29c-3p	22	66	1854	0.0348595213319459	0.0271298955944128	0.0435051633129212	9.99900009999e-05
5740_1	CLL	hsa-miR-29a-3p	22	351	11688	0.0292334523710655	0.0262994172809158	0.0323155837393034	0.001999800019998
5786	CLL	hsa-miR-5100	4	19	34	0.363636363636364	0.242906996288353	0.493762138240782	9.99900009999e-05
5786	CLL	hsa-miR-1260b	9	15	13	0.533333333333333	0.356938710803914	0.705514417048159	9.99900009999e-05
5786	CLL	hsa-miR-1260b	18	15	13	0.533333333333333	0.356938710803914	0.705514417048159	9.99900009999e-05
5786	CLL	hsa-miR-29c-3p	22	49	1360	0.0354358610914245	0.0264321508250394	0.0456853831047633	9.99900009999e-05
5786	CLL	hsa-miR-29a-3p	22	261	9513.5	0.0267989566818391	0.0236906122339717	0.0300906317971021	0.0031996800319968
5815_2	CLL	hsa-miR-29c-3p	22	47	2826	0.016695652173913	0.0123393512974004	0.0216879398129717	9.99900009999e-05
5815_2	CLL	hsa-miR-1260b	9	11	25	0.315789473684211	0.180138648052057	0.469799534994067	9.99900009999e-05
5815_2	CLL	hsa-miR-1260b	18	11	25	0.315789473684211	0.180138648052057	0.469799534994067	9.99900009999e-05
5815_2	CLL	hsa-miR-29a-3p	22	139	11009	0.0125560538116592	0.010573426528342	0.0147042264045054	9.99900009999e-05
5822	CLL	hsa-miR-29c-3p	22	36	1409	0.0255701451278507	0.0180787301681758	0.0343015316346398	9.99900009999e-05
5822	CLL	hsa-miR-29a-3p	22	137	7025	0.0192629815745394	0.016209463650526	0.0225706094582028	9.99900009999e-05
5991	CLL	hsa-miR-29c-3p	22	60	1933	0.0305764411027569	0.0234793633828464	0.0385640431914027	9.99900009999e-05
5991	CLL	hsa-miR-1260b	9	16	22	0.425	0.278107629676409	0.579001330595147	9.99900009999e-05
5991	CLL	hsa-miR-1260b	18	16	22	0.425	0.278107629676409	0.579001330595147	9.99900009999e-05
5991	CLL	hsa-miR-29a-3p	22	182	8030	0.0222790357925493	0.0191991386914244	0.0255791966821139	0.008999100089991
6049	CLL	hsa-miR-29a-3p	22	98	3355	0.0286541244573082	0.0233550856348498	0.0344696857441958	9.99900009999e-05
6049	CLL	hsa-miR-5100	4	21	31	0.407407407407407	0.281357957017809	0.539956946534529	9.99900009999e-05
6049	CLL	hsa-miR-29c-3p	22	11	426	0.0273348519362187	0.0142349752457331	0.0444911452239952	9.99900009999e-05
6161_1	CLL	hsa-miR-29c-3p	22	51	1259	0.0396341463414634	0.0297625554635122	0.0508335400450531	9.99900009999e-05
6161_1	CLL	hsa-miR-29a-3p	22	348	9103.5	0.0369175437668588	0.0332104385951702	0.0408102022455419	9.99900009999e-05
6161_1	CLL	hsa-miR-1260b	9	18	20	0.475	0.324180780965608	0.628189252793481	9.99900009999e-05
6161_1	CLL	hsa-miR-1260b	18	18	20	0.475	0.324180780965608	0.628189252793481	9.99900009999e-05
6165	CLL	hsa-miR-29a-3p	22	121	4198.5	0.0282309383315978	0.0235034128366045	0.0333718401187338	0.0074992500749925
6165	CLL	hsa-miR-29c-3p	22	11	198.5	0.0567375886524823	0.0298000010347379	0.0915761240189189	9.99900009999e-05
6190	CLL	hsa-miR-29a-3p	22	272	11935	0.0223605536899009	0.0198129433394534	0.0250563460033454	9.99900009999e-05
6190	CLL	hsa-miR-1260b	9	22	49	0.315068493150685	0.214417936087313	0.425316653314475	9.99900009999e-05
6190	CLL	hsa-miR-1260b	18	22	49	0.315068493150685	0.214417936087313	0.425316653314475	9.99900009999e-05
6190	CLL	hsa-miR-29c-3p	22	33	1555.5	0.0213769254951273	0.0148578455454128	0.0290338548644704	9.99900009999e-05
6214	CLL	hsa-miR-29a-3p	22	48	3589	0.0134652377026656	0.00998055996700761	0.0174557423853026	0.0182981701829817
6214	CLL	hsa-miR-5100	4	15	12	0.551724137931034	0.371793628612096	0.724891439703404	9.99900009999e-05
6232	CLL	hsa-miR-5100	4	38	41	0.481481481481481	0.374057481444439	0.589772158623229	9.99900009999e-05
6232	CLL	hsa-miR-29a-3p	22	130	6970	0.018445508307519	0.0154467827401955	0.0217009909697259	0.0173982601739826
6232	CLL	hsa-miR-29c-3p	22	37	1853.5	0.0200792602377807	0.0142550504121199	0.0268625296279098	9.99900009999e-05
6241_1	CLL	hsa-miR-29a-3p	22	165	6332.5	0.0255404261866297	0.0218456026476304	0.0295117076186644	9.99900009999e-05
6241_1	CLL	hsa-miR-29c-3p	22	40	1350.5	0.029443447037702	0.0212255063892079	0.0389396265511395	9.99900009999e-05
6276	CLL	hsa-miR-29c-3p	22	78	2033	0.0373876005679129	0.029723817564372	0.0458801959596055	9.99900009999e-05
6276	CLL	hsa-miR-5100	4	10	27	0.282051282051282	0.15424628678791	0.431008243702239	9.99900009999e-05
