Sample	Type	miRNA	Position	Editing_Type	Edited	Unedited	Editing_Level	p_value_BH
0101	CLL	hsa-mir-421	61	AG	10	750	0.0133333333333333	9.68760990896419e-05
0101	CLL	hsa-mir-664	18	AG	8	681	0.0117474302496329	0.00590014918666196
0102	CLL	hsa-mir-4999	29	UC	15	27	0.555555555555556	3.34288926315057e-34
0102	CLL	hsa-mir-589	66	AG	5	25	0.2	4.06465762613751e-07
0102	CLL	hsa-mir-421	61	AG	8	577	0.0138648180242634	0.000852083393795802
0102	CLL	hsa-mir-664	18	AG	7	466	0.0150214592274678	0.00262016176183595
0104	CLL	hsa-mir-664	18	AG	10	427	0.0234192037470726	3.32661201320359e-07
0104	CLL	hsa-mir-3681	10	AG	7	420	0.0166666666666667	0.00131158849263389
0106	CLL	hsa-mir-92b	72	UC	869	3193	0.272157845286564	0
0106	CLL	hsa-mir-4999	29	UC	9	25	0.36	1.30605494344852e-17
0106	CLL	hsa-mir-421	61	AG	21	1151	0.0182450043440487	5.16905926262861e-16
0106	CLL	hsa-mir-200b	61	AG	7	233	0.0300429184549356	1.96100715261908e-05
0106	CLL	hsa-mir-664	18	AG	8	581	0.0137693631669535	0.000513180839677565
0108	CLL	hsa-mir-1973	114	AG	6	25	0.24	1.35606261235316e-09
0108	CLL	hsa-mir-148b	37	AG	8	467	0.0171306209850107	0.000152015867500938
0110	CLL	hsa-mir-4999	29	UC	26	26	1	9.72850000000028e-75
0201	CLL	hsa-mir-4999	29	UC	7	10	0.7	9.31486596530254e-16
0201	CLL	hsa-mir-3681	10	AG	5	58	0.0862068965517241	2.13257620230502e-05
0203	CLL	hsa-mir-499a	73	AG	5	5	1	1.29713333333335e-11
0205	CLL	hsa-mir-421	61	AG	7	435	0.0160919540229885	0.00186516870029545
0206	CLL	hsa-mir-4999	29	UC	6	6	1	1.29713333333334e-14
0206	CLL	hsa-mir-421	61	AG	9	380	0.0236842105263158	2.88438654849963e-06
0206	CLL	hsa-mir-664	18	AG	7	214	0.0327102803738318	2.39863304600776e-05
0207	CLL	hsa-mir-664	18	AG	10	565	0.0176991150442478	3.9657250268458e-06
0208	CLL	hsa-mir-664	18	AG	6	308	0.0194805194805195	0.00565571832939312
0210	CLL	hsa-mir-4999	29	UC	6	6	1	9.72850000000008e-15
0211	CLL	hsa-mir-148b	37	AG	6	184	0.0326086956521739	0.000331714397624083
0215	CLL	hsa-mir-148b	37	AG	7	351	0.0199430199430199	0.000504799905836144
0215	CLL	hsa-mir-664	18	AG	8	714	0.0112044817927171	0.00419209124035454
0216	CLL	hsa-mir-449b	27	UC	10	10	1	1.94475000000004e-26
0216	CLL	hsa-mir-664	18	AG	11	1010	0.0108910891089109	8.26057664389256e-05
0217	CLL	hsa-mir-3681	10	AG	29	1119	0.0259159964253798	9.24787908055852e-27
0219	CLL	hsa-mir-589	66	AG	5	45	0.111111111111111	1.14962356892064e-05
0223	CLL	hsa-mir-421	61	AG	9	675	0.0133333333333333	0.000162628043562602
0224	CLL	hsa-mir-4999	29	UC	28	28	1	1.94475000000009e-80
0224	CLL	hsa-mir-3681	10	AG	27	1157	0.0233362143474503	9.0793582363311e-24
0224	CLL	hsa-mir-3157	70	AG	10	24	0.416666666666667	1.25529900674177e-20
0224	CLL	hsa-mir-421	61	AG	10	502	0.0199203187250996	6.36828222959575e-07
0301	CLL	hsa-mir-3681	10	AG	8	273	0.0293040293040293	7.07318300613134e-06
0302	CLL	hsa-mir-421	61	AG	10	478	0.0209205020920502	9.92357250190879e-07
0401	CLL	hsa-mir-4999	29	UC	7	7	1	1.94570000000002e-17
0501	CLL	hsa-mir-664	18	AG	13	614	0.0211726384364821	1.11011940880521e-09
0602	CLL	hsa-mir-4999	29	UC	7	22	0.318181818181818	2.18332812813497e-12
0603	CLL	hsa-mir-589	66	AG	5	35	0.142857142857143	2.46416094245088e-06
0701	CLL	hsa-mir-664	18	AG	15	930	0.0161290322580645	1.2658067426029e-09
0701	CLL	hsa-mir-421	61	AG	6	273	0.021978021978022	0.00336946423063137
CLL9_0103	CLL	hsa-mir-421	61	AG	6	266	0.0225563909774436	0.00724056623019912
CLL9_0112	CLL	hsa-mir-3681	10	AG	22	464	0.0474137931034483	2.10066878355707e-25
CLL9_0112	CLL	hsa-mir-148b	37	AG	8	405	0.0197530864197531	6.54535850130596e-05
CLL9_0112	CLL	hsa-mir-664	18	AG	10	842	0.0118764845605701	0.000107032247016129
SRX3584005	B_Cell	hsa-mir-27a	62	UC	9	666	0.0135135135135135	0.000131922076208884
SRX3584005	B_Cell	hsa-mir-184	62	AG	8	705	0.0113475177304965	0.00217945256210525
SRX3584009	B_Cell	hsa-mir-23b	58	AG	10	22	0.454545454545455	1.24394685472662e-21
SRX3584009	B_Cell	hsa-mir-589	26	AG	6	33	0.181818181818182	1.16928413057026e-09
SRX3584009	B_Cell	hsa-mir-99a	13	AG	8	129	0.062015503875969	1.43897449127599e-09
SRX3584009	B_Cell	hsa-mir-200b	61	AG	6	262	0.0229007633587786	0.000224579952097836
SRX3584014	B_Cell	hsa-let-7a-1	6	UC	6	16	0.375	2.206876767401e-11
SRX3584014	B_Cell	hsa-mir-532	34	AG	9	641	0.0140405616224649	3.74972866185996e-05
SRX3584014	B_Cell	hsa-mir-10b	27	UC	6	178	0.0337078651685393	4.69849378613481e-05
SRX3584014	B_Cell	hsa-mir-200b	61	AG	5	88	0.0568181818181818	4.74220410228115e-05
SRX3584014	B_Cell	hsa-mir-342	67	AG	7	330	0.0212121212121212	7.05378168372908e-05
SRX3584018	B_Cell	hsa-mir-342	63	UC	7	106	0.0660377358490566	3.34331175744765e-08
SRX3584018	B_Cell	hsa-mir-148b	65	AG	8	405	0.0197530864197531	9.7438970707232e-06
SRX3584018	B_Cell	hsa-mir-532	34	AG	8	717	0.0111576011157601	0.000596186383542297
SRX3584026	B_Cell	hsa-mir-4999	29	UC	15	20	0.75	3.33611055255503e-38
SRX3584026	B_Cell	hsa-mir-342	63	UC	14	327	0.0428134556574924	9.79890415326016e-16
SRX3584026	B_Cell	hsa-mir-99a	13	AG	9	300	0.03	1.94512279498889e-08
SRX3584034	B_Cell	hsa-mir-299	48	UC	6	6	1	3.24283333333336e-15
SRX3584038	B_Cell	hsa-mir-342	63	UC	13	258	0.0503875968992248	1.86709995281895e-15
SRX3584038	B_Cell	hsa-mir-200b	61	AG	13	568	0.022887323943662	3.71933665993466e-11
